Sample,Weight (mg),% Carbon,% Nitrogen, δC13,δ N15,C:N
dolt,0.924,49.03,9.01,-17.82,14.74,5.44
dolt,0.803,48.49,8.99,-17.86,14.75,5.40
dolt,0.964,48.95,9.06,-17.53,14.81,5.40
dolt,0.962,48.37,9.03,-17.75,14.80,5.36
dolt,1.054,48.22,8.83,-17.74,14.75,5.46
dolt,1.083,47.35,8.94,-18.09,14.91,5.30
dolt,1.074,47.00,9.02,-17.84,14.87,5.21
dolt,0.999,46.76,8.98,-17.85,14.80,5.21
dolt,1.071,48.59,8.95,-17.58,14.91,5.43
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
