Tray #,well number,sample type,sample ID,tin weight,total weight,sample weight,% Carbon,% Nitrogen, δC13,δ N15,C:N,ques
Tray 3 Juanes Hagfish 2019,H5,muscle,MUS-47,18.336,19.393,1.057,49.71,9.58,-18.7,16.09,5.19,FALSE
Tray 3 Juanes Hagfish 2019,H6,muscle,MUS-48,18.999,20.064,1.065,52.76,9.4,-19.1,16.51,5.61,FALSE
Tray 3 Juanes Hagfish 2019,H7,muscle,MUS-49,18.695,19.719,1.024,52.16,8.79,-20.08,15.09,5.94,FALSE
Tray 3 Juanes Hagfish 2019,H8,muscle,MUS-50,18.896,19.92,1.024,48.72,10.23,-18.03,16.71,4.76,FALSE
Tray 3 Juanes Hagfish 2019,H9,muscle,MUS-51,18.591,19.598,1.007,52.94,8.16,-19.13,16.57,6.49,FALSE
Tray 3 Juanes Hagfish 2019,H10,muscle,MUS-52,18.806,19.874,1.068,51.99,8.47,-19.03,16.76,6.13,FALSE
Tray 3 Juanes Hagfish 2019,H11,muscle,MUS-53,18.429,19.473,1.044,53.01,9.12,-19.04,15.92,5.81,FALSE
Tray 3 Juanes Hagfish 2019,H12,muscle,MUS-54,18.633,19.688,1.055,56.8,7.41,-19.9,15.5,7.67,FALSE
Tray 4 Juanes Hagfish 2019,A1,standard,dogfish muscle,NA,NA,1.031,41.23,16.6,-17.02,14.15,2.75,FALSE
Tray 4 Juanes Hagfish 2019,A2,muscle,MUS-55,18.742,19.801,1.059,53.91,8.8,-22.47,16.93,6.13,FALSE
Tray 4 Juanes Hagfish 2019,A3,muscle,MUS-56,18.851,19.898,1.047,,,,,,TRUE
Tray 4 Juanes Hagfish 2019,A4,muscle,MUS-57,18.585,19.652,1.067,51.15,9.86,-18.56,15.39,6.86,FALSE
Tray 4 Juanes Hagfish 2019,A5,muscle,MUS-58,18.976,20.076,1.1,53.39,9.05,-18.41,15.22,7.9,FALSE
Tray 4 Juanes Hagfish 2019,A6,muscle,MUS-59,18.588,19.584,0.996,59.46,8.19,-18.89,16.55,9.78,FALSE
Tray 4 Juanes Hagfish 2019,A7,muscle,MUS-60,19.018,20.06,1.042,48.54,9.54,-18.58,15.12,6.74,FALSE
Tray 4 Juanes Hagfish 2019,A8,muscle,MUS-61,18.801,19.854,1.053,56.23,7.96,-19.43,15.51,9.54,FALSE
Tray 4 Juanes Hagfish 2019,A9,muscle,MUS-62,18.641,19.738,1.097,54.91,9.32,-18.88,15.83,7.91,FALSE
Tray 4 Juanes Hagfish 2019,A10,muscle,MUS-63,18.326,19.336,1.01,55.85,8.33,-19.46,15.48,9.03,FALSE
Tray 4 Juanes Hagfish 2019,A11,muscle,MUS-64,19.044,20.044,1,49.11,9.96,-20.47,13.12,6.56,FALSE
Tray 4 Juanes Hagfish 2019,A12,muscle,MUS-65,18.63,19.663,1.033,49.36,9.57,-20.05,12.72,6.86,FALSE
Tray 4 Juanes Hagfish 2019,B1,standard,dogfish muscle,NA,NA,1.143,40.3,15.34,-17.53,14.1,3,FALSE
Tray 4 Juanes Hagfish 2019,B2,muscle,MUS-66,18.417,19.452,1.035,,,,,,TRUE
Tray 4 Juanes Hagfish 2019,B3,muscle,MUS-67,18.89,19.917,1.027,53.61,7.78,-19.55,13.81,6.89,TRUE
Tray 4 Juanes Hagfish 2019,B4,muscle,MUS-68,18.75,19.753,1.003,56.48,7.86,-19.76,14.71,7.18,TRUE
Tray 4 Juanes Hagfish 2019,B5,muscle,MUS-69,18.66,19.664,1.004,48.97,9.4,-19.07,13.73,5.21,TRUE
Tray 4 Juanes Hagfish 2019,B6,muscle,MUS-70,19.15,20.218,1.068,53.29,8.57,-19.08,15.9,6.22,TRUE
