Tray #,well number,sample type,sample ID,tin weight,total weight,sample weight,% Carbon,% Nitrogen, δC13,δ N15,C:N,ques
Tray 1 Juanes Hagfish 2019,H5,muscle,LE-MUS-11,18.874,19.954,1.08,44.76,13.54,-18.73,14.25,3.31,FALSE
Tray 1 Juanes Hagfish 2019,H6,muscle,LE-MUS-12,18.544,19.63,1.086,44.84,13.95,-19.32,12.77,3.21,FALSE
Tray 1 Juanes Hagfish 2019,H7,muscle,LE-MUS-13,18.611,19.67,1.059,46.18,14.22,-20.78,11.29,3.25,FALSE
Tray 1 Juanes Hagfish 2019,H8,muscle,LE-MUS-14,18.63,19.692,1.062,43.75,13.7,-19.71,11.47,3.19,FALSE
Tray 1 Juanes Hagfish 2019,H9,muscle,LE-MUS-15,18.511,19.555,1.044,42.58,13.39,-19.74,12.79,3.18,FALSE
Tray 1 Juanes Hagfish 2019,H10,muscle,LE-MUS-16,18.435,19.512,1.077,43.85,13.99,-16.8,16.18,3.13,FALSE
Tray 1 Juanes Hagfish 2019,H11,muscle,LE-MUS-17,19.122,20.147,1.025,43.84,14.51,-16.19,16.93,3.02,FALSE
Tray 1 Juanes Hagfish 2019,H12,muscle,LE-MUS-18,18.737,19.78,1.043,44.41,14.57,-16.06,17.11,3.05,FALSE
Tray 2 Juanes Hagfish 2019,A1,standard,dogfish muscle,NA,NA,1.014,41.7,14.67,-16.97,14.31,2.84,FALSE
Tray 2 Juanes Hagfish 2019,A2,muscle,LE-MUS-19,18.759,19.765,1.006,44.36,14.09,-16.15,17.19,3.15,FALSE
Tray 2 Juanes Hagfish 2019,A3,muscle,LE-MUS-20,18.6,19.669,1.069,44.45,14.19,-16.71,16.1,3.13,FALSE
Tray 2 Juanes Hagfish 2019,A4,muscle,LE-MUS-21,18.662,19.753,1.091,43.55,14.07,-17.54,14.59,3.09,FALSE
Tray 2 Juanes Hagfish 2019,A5,muscle,LE-MUS-22,18.658,19.66,1.002,43.87,14.39,-21.44,9.5,3.05,FALSE
Tray 2 Juanes Hagfish 2019,A6,muscle,LE-MUS-23,19.059,20.086,1.027,43.08,13.95,-17.47,14.79,3.09,FALSE
Tray 2 Juanes Hagfish 2019,A7,muscle,LE-MUS-24,18.618,19.632,1.014,44.24,13.88,-16.81,15.72,3.19,FALSE
Tray 2 Juanes Hagfish 2019,A8,muscle,LE-MUS-25,18.545,19.607,1.062,41.92,13.6,-18.5,13.39,3.08,FALSE
Tray 2 Juanes Hagfish 2019,A9,muscle,LE-MUS-26,18.732,19.813,1.081,43.24,13.61,-17.99,13.98,3.18,FALSE
Tray 2 Juanes Hagfish 2019,A10,muscle,LE-MUS-27,18.684,19.686,1.002,42.3,13.5,-15.52,16.15,3.13,FALSE
Tray 2 Juanes Hagfish 2019,A11,muscle,LE-MUS-28,18.747,19.82,1.073,43.25,13.76,-18.42,13.12,3.14,FALSE
Tray 2 Juanes Hagfish 2019,A12,muscle,LE-MUS-29,18.596,19.668,1.072,43.06,13.75,-18.92,13.05,3.13,FALSE
Tray 2 Juanes Hagfish 2019,B1,standard,dogfish muscle,NA,NA,0.902,41.97,14.85,-16.81,14.08,2.83,FALSE
Tray 2 Juanes Hagfish 2019,B2,muscle,LE-MUS-30,18.521,19.621,1.1,45.07,14.19,-16.4,16.32,3.18,FALSE
Tray 2 Juanes Hagfish 2019,B3,muscle,LE-MUS-31,18.824,19.827,1.003,43.77,14.18,-16.71,15.47,3.09,FALSE
Tray 2 Juanes Hagfish 2019,B4,muscle,LE-MUS-32,18.417,19.517,1.1,44.16,14.27,-15.6,17.54,3.09,FALSE
Tray 2 Juanes Hagfish 2019,B5,muscle,LE-MUS-33,18.611,19.654,1.043,44.54,14.38,-16.03,16.78,3.1,FALSE
Tray 2 Juanes Hagfish 2019,B6,muscle,LE-MUS-34,18.73,19.759,1.029,42.91,13.93,-16.85,15.57,3.08,FALSE
Tray 2 Juanes Hagfish 2019,B7,muscle,LE-MUS-35,18.699,19.75,1.051,42.15,13.76,-15.7,16.94,3.06,FALSE
Tray 2 Juanes Hagfish 2019,B8,muscle,LE-MUS-36,18.681,19.766,1.085,44.57,14.35,-15.42,17.19,3.11,FALSE
Tray 2 Juanes Hagfish 2019,B9,muscle,LE-MUS-37,18.378,19.471,1.093,44.66,14.7,-16.1,12.11,3.04,FALSE
Tray 2 Juanes Hagfish 2019,B10,muscle,LE-MUS-38,18.454,19.492,1.038,43.06,13.68,-15.66,17.55,3.15,FALSE
Tray 2 Juanes Hagfish 2019,B11,muscle,LE-MUS-39,18.657,19.756,1.099,44.16,13.85,-15.85,16.56,3.19,FALSE
Tray 2 Juanes Hagfish 2019,B12,muscle,LE-MUS-40,18.699,19.721,1.022,44.27,14.46,-16.48,16.36,3.06,FALSE
Tray 2 Juanes Hagfish 2019,C1,standard,dogfish muscle,NA,NA,1.097,45.15,14.82,-17.6,14.12,3.05,FALSE
Tray 2 Juanes Hagfish 2019,C2,muscle,LE-MUS-41,18.589,19.639,1.05,44.36,13.97,-15.99,17.17,3.18,FALSE
Tray 2 Juanes Hagfish 2019,C3,muscle,LE-MUS-42,18.394,19.399,1.005,43.78,13.71,-15.23,17.97,3.19,FALSE
Tray 2 Juanes Hagfish 2019,C4,muscle,LE-MUS-43,18.732,19.783,1.051,43.51,13.61,-15.92,16.55,3.2,FALSE
Tray 2 Juanes Hagfish 2019,C5,muscle,LE-MUS-44,18.898,19.989,1.091,43.57,13.57,-15.56,17.3,3.21,FALSE
Tray 2 Juanes Hagfish 2019,C6,muscle,LE-MUS-45,18.382,19.412,1.03,44.04,14.13,-15.75,17.02,3.12,FALSE
Tray 2 Juanes Hagfish 2019,C7,muscle,LE-MUS-46,18.613,19.663,1.05,43.6,13.94,-15.71,17.26,3.13,FALSE
Tray 2 Juanes Hagfish 2019,C8,muscle,LE-MUS-47,18.489,19.522,1.033,42.61,13.4,-15.87,16.98,3.18,FALSE
Tray 2 Juanes Hagfish 2019,C9,muscle,LE-MUS-48,18.647,19.653,1.006,43.52,14,-15.73,17.36,3.11,FALSE
Tray 2 Juanes Hagfish 2019,C10,muscle,LE-MUS-49,18.857,19.929,1.072,43.48,13.79,-17.17,15.86,3.15,FALSE
Tray 2 Juanes Hagfish 2019,C11,muscle,LE-MUS-50,18.951,20.04,1.089,42.94,13.56,-15.05,17.93,3.17,FALSE
Tray 2 Juanes Hagfish 2019,C12,muscle,LE-MUS-51,18.723,18.812,0.089,546.85,169.17,-15.12,17.52,3.23,FALSE
Tray 2 Juanes Hagfish 2019,D1,standard,dogfish muscle,NA,NA,1.07,41.59,14.43,-16.73,14.24,2.88,FALSE
Tray 2 Juanes Hagfish 2019,D2,muscle,LE-MUS-52,18.61,19.71,1.1,42.34,13.36,-15.26,17.68,3.17,FALSE
Tray 2 Juanes Hagfish 2019,D3,muscle,LE-MUS-53,18.569,19.625,1.056,43.1,13.82,-15.35,17.11,3.12,FALSE
Tray 2 Juanes Hagfish 2019,D4,muscle,LE-MUS-54,18.527,19.588,1.061,43.05,13.51,-16.06,16.6,3.19,FALSE
Tray 2 Juanes Hagfish 2019,D5,muscle,LE-MUS-55,18.71,19.791,1.081,42.74,13.53,-15.27,18.02,3.16,FALSE
Tray 2 Juanes Hagfish 2019,D6,muscle,LE-MUS-56,18.381,19.424,1.043,41.35,13.26,-15.71,16.97,3.12,FALSE
Tray 2 Juanes Hagfish 2019,D7,muscle,LE-MUS-57,18.885,19.975,1.09,43.89,14.32,-15.48,16.57,3.07,FALSE
Tray 2 Juanes Hagfish 2019,D8,muscle,LE-MUS-58,18.618,19.646,1.028,43.05,14.08,-15.02,16.45,3.06,FALSE
Tray 2 Juanes Hagfish 2019,D9,muscle,LE-MUS-59,18.426,19.507,1.081,43.85,14.08,-14.59,17.61,3.11,FALSE
Tray 2 Juanes Hagfish 2019,D10,muscle,LE-MUS-60,18.943,19.959,1.016,40.72,12.31,-15.29,16.01,3.31,FALSE
Tray 2 Juanes Hagfish 2019,D11,muscle,LE-MUS-61,18.625,19.635,1.01,41.71,13.78,-15.17,16.55,3.03,FALSE
Tray 2 Juanes Hagfish 2019,D12,muscle,LE-MUS-62,19.13,20.212,1.082,43.35,14.24,-15.51,17.24,3.04,FALSE
Tray 2 Juanes Hagfish 2019,E1,standard,dogfish muscle,NA,NA,0.894,41.44,14.61,-16.87,14.18,2.84,FALSE
Tray 2 Juanes Hagfish 2019,E2,muscle,LE-MUS-63,18.358,19.388,1.03,43.61,14.08,-15.57,16.66,3.1,FALSE
Tray 2 Juanes Hagfish 2019,E3,muscle,LE-MUS-64,18.565,19.576,1.011,41.25,13.41,-17.6,14.3,3.08,FALSE
Tray 2 Juanes Hagfish 2019,E4,muscle,LE-MUS-65,18.628,19.633,1.005,39.93,13.46,-16.78,14.32,2.97,FALSE
Tray 2 Juanes Hagfish 2019,E5,muscle,LE-MUS-66,18.758,19.804,1.046,42.21,13.73,-15.27,16.4,3.07,FALSE
Tray 2 Juanes Hagfish 2019,E6,muscle,LE-MUS-67,18.902,19.979,1.077,42.63,13.95,-15.88,16.16,3.06,FALSE
Tray 2 Juanes Hagfish 2019,E7,muscle,LE-MUS-68,18.83,19.901,1.071,41.72,13.64,-16.57,15.32,3.06,FALSE
Tray 2 Juanes Hagfish 2019,E8,muscle,LE-MUS-69,18.427,19.488,1.061,41.94,13.75,-15.68,15.13,3.05,FALSE
Tray 2 Juanes Hagfish 2019,E9,muscle,LE-MUS-70,18.387,19.464,1.077,41.99,13.8,-14.81,17.03,3.04,FALSE
Tray 2 Juanes Hagfish 2019,E10,liver,LIV-1,18.207,19.211,1.004,61.32,4.28,-23.57,11.74,14.32,FALSE
Tray 2 Juanes Hagfish 2019,E11,liver,LIV-2,18.89,19.94,1.05,62.33,4.83,-21.22,14.1,12.9,FALSE
Tray 2 Juanes Hagfish 2019,E12,liver,LIV-3,18.836,19.871,1.035,61.66,5.3,-21.05,15.03,11.64,FALSE
Tray 2 Juanes Hagfish 2019,F1,standard,dogfish muscle,NA,NA,0.969,41.77,14.79,-16.82,14.02,2.82,FALSE
Tray 2 Juanes Hagfish 2019,F2,liver,LIV-4,18.851,19.864,1.013,59.93,5.91,-20.32,14.98,10.14,FALSE
Tray 2 Juanes Hagfish 2019,F3,liver,LIV-5,18.789,19.801,1.012,60.28,5.3,-20.77,14.01,11.37,FALSE
Tray 2 Juanes Hagfish 2019,F4,liver,LIV-6,18.682,19.732,1.05,57.43,6.98,-20.4,14.46,8.23,FALSE
Tray 2 Juanes Hagfish 2019,F5,liver,LIV-7,18.385,19.424,1.039,55.18,8.75,-19.67,14.76,6.31,FALSE
Tray 2 Juanes Hagfish 2019,F6,liver,LIV-8,18.577,19.638,1.061,61.2,5.6,-25.51,5.48,10.92,FALSE
Tray 2 Juanes Hagfish 2019,F7,liver,LIV-9,18.178,19.19,1.012,57.8,5.66,-26.33,4.74,10.22,FALSE
Tray 2 Juanes Hagfish 2019,F8,liver,LIV-10,18.655,19.73,1.075,53.82,7.99,-26.58,6.19,6.74,FALSE
Tray 2 Juanes Hagfish 2019,F9,liver,LIV-11,18.657,19.662,1.005,60.89,5.51,-25.87,11.52,11.05,FALSE
Tray 2 Juanes Hagfish 2019,F10,liver,LIV-12,18.639,19.692,1.053,61.68,4.09,-22.6,11.24,15.06,FALSE
Tray 2 Juanes Hagfish 2019,F11,liver,LIV-13,18.407,19.461,1.054,59.16,6.03,-24.11,9.38,9.82,FALSE
Tray 2 Juanes Hagfish 2019,F12,liver,LIV-14,18.59,19.604,1.014,59.33,5.58,-23.96,9.66,10.63,FALSE
Tray 2 Juanes Hagfish 2019,G1,standard,dogfish muscle,NA,NA,1.024,42,14.79,-16.89,14.09,2.84,FALSE
Tray 2 Juanes Hagfish 2019,G2,liver,LIV-15,18.685,19.722,1.037,56.4,6.33,-26.07,9.9,8.91,FALSE
Tray 2 Juanes Hagfish 2019,G3,liver,LIV-16,18.887,19.905,1.018,60.49,5.55,-21.21,14.3,10.9,FALSE
Tray 2 Juanes Hagfish 2019,G4,liver,LIV-17,19.025,20.048,1.023,58.11,6.27,-20.83,14.4,9.27,FALSE
Tray 2 Juanes Hagfish 2019,G5,liver,LIV-18,18.751,19.85,1.099,61.1,5.79,-21.28,15.19,10.56,FALSE
Tray 2 Juanes Hagfish 2019,G6,liver,LIV-19,18.787,19.831,1.044,60.57,6.28,-21.22,14.98,9.64,FALSE
Tray 2 Juanes Hagfish 2019,G7,liver,LIV-20,18.65,19.658,1.008,59.48,4.47,-21.97,14,13.31,FALSE
Tray 2 Juanes Hagfish 2019,G8,liver,LIV-21,18.532,19.617,1.085,57.88,6.72,-23.37,12.86,8.61,FALSE
Tray 2 Juanes Hagfish 2019,G9,liver,LIV-22,18.553,19.606,1.053,60.81,5.88,-26.08,7.52,10.35,FALSE
Tray 2 Juanes Hagfish 2019,G10,liver,LIV-23,18.945,19.978,1.033,54.14,8.35,-21.58,12.1,6.48,FALSE
